model_chkpt,trainable_blocks,num_chords,epochs,accuracy,recall,precision,optimizer,other comments
1,0,3,10,43.7,47.3,48.3,sgd(lr = 0.2),
2,1,3,5,52.1,56.2,58.2,"SGD(lr=0.01, momentum = 0.9, decay = 0.001)",
3,2,3,8,85.4,86.9,85.9,"SGD(lr=0.01, momentum = 0.9, decay = 0.001",
4,3,3,5,84.4,87,85.3,"SGD(lr=0.001, momentum = 0.9, decay = 0.001",
5,4,3,8,87.5,90,88.7,"
Adam(lr=0.001, beta_1 = 0.9, beta_2 = 0.999)
",switched optimizer to Adam because plateuing
6,4,3,20,93.4,95.2,94.2,"
Adam(lr=0.001, beta_1 = 0.9, beta_2 = 0.999)
","added in some additional images, retrained "
7,5,3,,96.9,96.8,97.3,"
Adam(lr=0.0001, beta_1 = 0.9, beta_2 = 0.999)
",
8,0,5,,82.8,83,83.2,SGD(lr = 0.2),
9,1,5,,96.9,97.4,97.2,"
Adam(lr=0.001, beta_1 = 0.9, beta_2 = 0.999)
",
10,2,5,,96.9,96.9,96.8,"
Adam(lr=0.0001, beta_1 = 0.9, beta_2 = 0.999)
",
11,3,5,,96.1,97,96.8,"
Adam(lr=0.0001, beta_1 = 0.9, beta_2 = 0.999)
",
12,5,5,,98.4,98.7,98.6,"
Adam(lr=0.0001, beta_1 = 0.9, beta_2 = 0.999)
",